Borough,condition,estrato,property_type,neighborhood,Area,bedrooms,bathrooms,garages,Price
Metropolitana,Usado,1,Casa,Villa Sevilla,224,3,1,0,250000000
Norte-Centro Histórico,Usado,1,Apartamento,El Prado,88,3,2,1,240000000
Sur Occidente,Usado,1,Casa,El Bosque,104,3,1,0,70000000
Riomar,Usado,1,Casa,Altos del Prado,600,3,5,0,1200000000
Riomar,Usado,1,Casa,Paraíso,4,3,3,1,350000000
Norte-Centro Histórico,Usado,1,Apartamento,Alameda del Rio,43,2,1,1,127000000
Sur Occidente,Usado,1,Casa,Las Terrazas,300,3,3,1,250000000
Metropolitana,Usado,1,Apartamento,San Luis,41,2,1,1,60000000
Metropolitana,Usado,1,Casa,Las Américas,145,3,1,0,30000000
Sur Occidente,Usado,1,Casa,Las Terrazas,280,3,3,1,250000000
Soledad,Usado,1,Casa,Los Almendros,72,3,1,0,106000000
Sur Occidente,Usado,1,Apartamento,Caribe Verde,46,3,1,1,105000000
Metropolitana,Usado,1,Casa,Santa María,20,3,1,0,80000000
Norte-Centro Histórico,Usado,1,Casa,Ciudad Jardín,370,1,0,0,660000000
Sur Oriente,Usado,1,Apartamento,Villa del Carmen,36,2,1,0,25000000
Soledad,Usado,1,Casa,Soledad 2000,67,4,3,0,140000000
Sur Occidente,Usado,1,Apartamento,Caribe Verde,46,3,1,0,99000000
Sur Occidente,Usado,1,Apartamento,Villas San Pablo,66,2,1,1,60000000
Soledad,Usado,1,Apartamento,Villa de las Moras,36,2,1,0,36000000
Soledad,Usado,1,Apartamento,Ciudad Caribe,45,3,1,0,110000000
Riomar,Usado,1,Apartamento,Riomar,81,2,2,1,305500000
Riomar,Usado,1,Apartamento,Altos del Limón,230,3,3,0,870000000
Sur Occidente,Usado,1,Casa,La Florida,225,5,3,1,450000000
Metropolitana,Usado,1,Apartamento,Las Granjas,50,2,1,1,60000000
Sur Occidente,Usado,1,Casa,Lucero,199,3,1,1,400000000
Sur Oriente,Inmobiliaria,1,Casa,Los Laureles,67,4,1,0,65000000
Sur Occidente,Usado,1,Casa,El Bosque,265,10,4,2,230000000
Metropolitana,Usado,1,Casa,El Santuario,84,1,1,0,130000000
Soledad,Usado,1,Casa,Villa María,437,11,7,1,580000000
Metropolitana,Usado,1,Casa,Carrizal,235,6,3,0,170000000
Metropolitana,Usado,1,Casa,Los Girasoles,175,4,2,0,200000000
Sur Occidente,Usado,1,Apartamento,Carlos Meisel,96,3,1,0,150000000
Metropolitana,Usado,1,Casa,7 de Abril,123,4,2,1,115000000
Riomar,Usado,1,Casa,Paraíso,475,6,6,0,750000000
Sur Occidente,Usado,1,Casa,Ciudad Modesto,270,3,2,0,220000000
Metropolitana,Usado,1,Casa,Santa María,220,3,3,1,210000000
Riomar,Usado,1,Apartamento,Miramar,43,2,1,0,130000000
Metropolitana,Usado,1,Casa,Villa San Pedro I y II,74,3,1,0,89000000
Sur Occidente,Usado,1,Casa,La Florida,210,5,3,2,460000000
Metropolitana,Inmobiliaria,1,Casa,Santo Domingo de Guzmán,216,4,3,0,135000000
Norte-Centro Histórico,Usado,1,Apartamento,Alameda del Rio,41,2,1,0,127000000
Norte-Centro Histórico,Usado,1,Apartamento,Norte-Centro Histórico,43,2,1,1,127000000
Norte-Centro Histórico,Usado,2,Casa,Barranquilla,95,5,3,2,185000000
Sur Occidente,Usado,2,Apartamento,El Rubí,64,2,2,1,150000000
Sur Oriente,Usado,2,Casa,José Antonio Galán,72,5,2,1,290000000
Sur Oriente,Usado,2,Apartamento,José Antonio Galán,55,3,1,1,120000000
Sur Oriente,Usado,2,Casa,El Limón,120,3,2,1,250000000
Sur Oriente,Usado,2,Apartamento,José Antonio Galán,54,2,1,1,95000000
Sur Oriente,Usado,2,Apartamento,José Antonio Galán,54,2,1,0,130000000
Soledad,Usado,2,Apartamento,Los Cocos,70,3,1,0,140000000
Sur Oriente,Usado,2,Casa,Las Nieves,302,4,1,0,230000000
Soledad,Usado,2,Casa,Las Moras,172,3,3,0,200000000
Norte-Centro Histórico,Usado,2,Apartamento,El Rosario,50,1,1,0,60000000
Sur Oriente,Usado,2,Casa,El Campito,120,4,2,0,280000000
Sur Oriente,Usado,2,Casa,Moderno,113,3,3,0,180000000
Metropolitana,Usado,2,Casa,San José,55,3,1,1,160000000
Metropolitana,Usado,2,Apartamento,La Sierra,65,2,1,0,70000000
Norte-Centro Histórico,Usado,2,Apartamento,Las Colinas,120,2,2,1,140000000
Sur Occidente,Usado,2,Casa,Las Estrellas,85,3,2,1,178000000
Metropolitana,Usado,2,Apartamento,Las Cayenas,46,2,1,0,100000000
Sur Occidente,Usado,2,Apartamento,Las Estrellas,55,3,2,0,120000000
Sur Occidente,Usado,2,Apartamento,Las Estrellas,124,4,3,0,260000000
Sur Occidente,Usado,2,Casa,Las Estrellas,65,3,2,0,170000000
Metropolitana,Usado,2,Apartamento,Las Cayenas,49,2,1,1,130000000
Sur Occidente,Usado,2,Apartamento,Las Estrellas,55,3,2,0,119000000
Soledad,Usado,2,Casa,Los Almendros,127,4,3,1,246000000
Sur Occidente,Usado,2,Apartamento,Las Estrellas,63,3,2,0,125000000
Sur Occidente,Usado,2,Apartamento,Las Estrellas,85,3,2,1,175000000
Sur Occidente,Usado,2,Apartamento,Las Estrellas,50,2,1,0,95000000
Metropolitana,Usado,2,Casa,El Santuario,126,4,2,0,210000000
Sur Oriente,Usado,2,Casa,San Nicolás,180,5,2,1,200000000
Soledad,Usado,2,Casa,El Hipódromo,100,3,2,1,270000000
Sur Occidente,Usado,2,Apartamento,San Felipe,56,3,2,0,130000000
Soledad,Usado,2,Casa,El Parque,72,3,2,0,140000000
